azurerm_aadb2c_directory,Microsoft.AzureActiveDirectory/b2cDirectories
azurerm_hpc_cache_blob_nfs_target,false
azurerm_hpc_cache_blob_target,false
azurerm_hpc_cache_nfs_target,false
azurerm_image,false
azurerm_integration_service_environment,false
azurerm_iot_security_device_group,false
azurerm_iot_security_solution,false
azurerm_iot_time_series_insights_access_policy,false
azurerm_iot_time_series_insights_event_source_eventhub,false
azurerm_iot_time_series_insights_event_source_iothub,false
azurerm_iot_time_series_insights_gen2_environment,false
azurerm_iot_time_series_insights_reference_data_set,false
azurerm_iot_time_series_insights_standard_environment,false
azurerm_iotcentral_application,false
azurerm_iothub,false
azurerm_iothub_certificate,false
azurerm_iothub_consumer_group,false
azurerm_iothub_dps,false
azurerm_iothub_dps_certificate,false
azurerm_iothub_dps_shared_access_policy,false
azurerm_iothub_endpoint_eventhub,false
azurerm_iothub_endpoint_servicebus_queue,false
azurerm_iothub_endpoint_servicebus_topic,false
azurerm_iothub_endpoint_storage_container,false
azurerm_iothub_enrichment,false
azurerm_iothub_fallback_route,false
azurerm_iothub_route,false
azurerm_iothub_shared_access_policy,false
azurerm_ip_group,false
azurerm_key_vault,false
azurerm_key_vault_access_policy,false
azurerm_key_vault_certificate,false
azurerm_key_vault_certificate_issuer,false
azurerm_key_vault_key,false
azurerm_key_vault_managed_hardware_security_module,false
azurerm_key_vault_managed_storage_account,false
azurerm_key_vault_managed_storage_account_sas_token_definition,false
azurerm_key_vault_secret,false
azurerm_kubernetes_cluster,false
azurerm_kubernetes_cluster_node_pool,false
azurerm_kusto_attached_database_configuration,false
azurerm_kusto_cluster,false
azurerm_kusto_cluster_customer_managed_key,false
azurerm_kusto_cluster_managed_private_endpoint,false
azurerm_kusto_cluster_principal_assignment,false
azurerm_kusto_database,false
azurerm_kusto_database_principal_assignment,false
azurerm_kusto_eventgrid_data_connection,false
azurerm_kusto_eventhub_data_connection,false
azurerm_kusto_iothub_data_connection,false
azurerm_kusto_script,false
azurerm_lb,false
azurerm_lb_backend_address_pool,false
azurerm_lb_backend_address_pool_address,false
azurerm_lb_nat_pool,false
azurerm_lb_nat_rule,false
azurerm_lb_outbound_rule,false
azurerm_lb_probe,false
azurerm_lb_rule,false
azurerm_lighthouse_assignment,false
azurerm_lighthouse_definition,false
azurerm_linux_function_app,Microsoft.Web/sites
azurerm_linux_function_app_slot,false
azurerm_linux_virtual_machine,false
azurerm_linux_virtual_machine_scale_set,false
azurerm_linux_web_app,false
azurerm_linux_web_app_slot,false
azurerm_load_test,false
azurerm_local_network_gateway,false
azurerm_log_analytics_cluster,false
azurerm_log_analytics_cluster_customer_managed_key,false
azurerm_log_analytics_data_export_rule,false
azurerm_log_analytics_datasource_windows_event,false
azurerm_log_analytics_datasource_windows_performance_counter,false
azurerm_log_analytics_linked_service,false
azurerm_log_analytics_linked_storage_account,false
azurerm_log_analytics_query_pack,false
azurerm_log_analytics_query_pack_query,false
azurerm_log_analytics_saved_search,false
azurerm_log_analytics_solution,false
azurerm_log_analytics_storage_insights,false
azurerm_log_analytics_workspace,false
azurerm_logic_app_action_custom,false
azurerm_logic_app_action_http,false
azurerm_logic_app_integration_account,false
azurerm_logic_app_integration_account_agreement,false
azurerm_logic_app_integration_account_assembly,false
azurerm_logic_app_integration_account_batch_configuration,false
azurerm_logic_app_integration_account_certificate,false
azurerm_logic_app_integration_account_map,false
azurerm_logic_app_integration_account_partner,false
azurerm_logic_app_integration_account_schema,false
azurerm_logic_app_integration_account_session,false
azurerm_logic_app_standard,false
azurerm_logic_app_trigger_custom,false
azurerm_logic_app_trigger_http_request,false
azurerm_logic_app_trigger_recurrence,false
azurerm_logic_app_workflow,false
azurerm_logz_monitor,false
azurerm_logz_sub_account,false
azurerm_logz_sub_account_tag_rule,false
azurerm_logz_tag_rule,false
azurerm_machine_learning_compute_cluster,false
azurerm_machine_learning_compute_instance,false
azurerm_machine_learning_inference_cluster,false
azurerm_machine_learning_synapse_spark,false
azurerm_machine_learning_workspace,false
azurerm_maintenance_assignment_dedicated_host,false
azurerm_maintenance_assignment_virtual_machine,false
azurerm_maintenance_assignment_virtual_machine_scale_set,false
azurerm_maintenance_configuration,false
azurerm_managed_application,false
azurerm_managed_application_definition,false
azurerm_managed_disk,false
azurerm_managed_disk_sas_token,false
azurerm_management_group,false
azurerm_management_group_policy_assignment,false
azurerm_management_group_policy_exemption,false
azurerm_management_group_policy_remediation,false
azurerm_management_group_subscription_association,false
azurerm_management_group_template_deployment,false
azurerm_management_lock,false
azurerm_maps_account,false
azurerm_maps_creator,false
azurerm_mariadb_configuration,false
azurerm_mariadb_database,false
azurerm_mariadb_firewall_rule,false
azurerm_mariadb_server,false
azurerm_mariadb_virtual_network_rule,false
azurerm_marketplace_agreement,false
azurerm_media_asset,false
azurerm_media_asset_filter,false
